settlement_date,settlement_period,price_gbp_per_mwh
2025-01-01,1,9.07
2025-01-01,2,23.51
2025-01-01,3,9.11
2025-01-01,4,8.94
2025-01-01,5,29.65
2025-01-01,6,17.91
2025-01-01,7,11.74
2025-01-01,8,6.2
2025-01-01,9,7.01
2025-01-01,10,4.32
2025-01-01,11,3.27
2025-01-01,12,3.44
2025-01-01,13,1.84
2025-01-01,14,4.63
2025-01-01,15,-1.5
2025-01-01,16,-2.25
2025-01-01,17,-6.35
2025-01-01,18,-2.9
2025-01-01,19,-14.33
2025-01-01,20,1.84
2025-01-01,21,-3.34
2025-01-01,22,16.96
2025-01-01,23,10.53
2025-01-01,24,25.49
2025-01-01,25,45.57
2025-01-01,26,60.24
2025-01-01,27,82.29
2025-01-01,28,85.57
2025-01-01,29,87.18
2025-01-01,30,90.24
2025-01-01,31,97.49
2025-01-01,32,112.25
2025-01-01,33,119.72
2025-01-01,34,121.25
2025-01-01,35,125.79
2025-01-01,36,126.73
2025-01-01,37,125.66
2025-01-01,38,125.69
2025-01-01,39,125.56
2025-01-01,40,120.95
2025-01-01,41,109.7
2025-01-01,42,106.87
2025-01-01,43,106.0
2025-01-01,44,110.84
2025-01-01,45,111.04
2025-01-01,46,108.13
2025-01-01,47,107.77
2025-01-01,48,106.05
2025-01-02,1,110.4
2025-01-02,2,112.24
2025-01-02,3,110.88
2025-01-02,4,108.63
2025-01-02,5,106.89
2025-01-02,6,98.16
2025-01-02,7,101.2
2025-01-02,8,98.65
2025-01-02,9,87.39
2025-01-02,10,85.23
2025-01-02,11,84.69
2025-01-02,12,86.89
2025-01-02,13,99.51
2025-01-02,14,86.53
2025-01-02,15,118.11
2025-01-02,16,126.67
2025-01-02,17,121.62
2025-01-02,18,123.01
2025-01-02,19,115.3
2025-01-02,20,116.89
2025-01-02,21,116.21
2025-01-02,22,110.05
2025-01-02,23,112.43
2025-01-02,24,107.5
2025-01-02,25,99.14
2025-01-02,26,98.2
2025-01-02,27,97.91
2025-01-02,28,103.61
2025-01-02,29,110.98
2025-01-02,30,109.34
2025-01-02,31,116.72
2025-01-02,32,124.16
2025-01-02,33,127.12
2025-01-02,34,133.05
2025-01-02,35,135.83
2025-01-02,36,137.73
2025-01-02,37,133.87
2025-01-02,38,120.56
2025-01-02,39,110.16
2025-01-02,40,100.34
2025-01-02,41,98.15
2025-01-02,42,99.62
2025-01-02,43,101.46
2025-01-02,44,101.04
